company_name,title,education,career,deadline,skill
(주)인티그리트,여의도 서버엔지니어NT외 상주유지보수 금융기관 초중급엔지니,학력무관,경력 7년↑ · 정규직,2024.12.22,"기술지원,데이터분석가,데이터엔지니어,백엔드/서버개발,보안컨설팅"
하이엠케이(주),"지능형 로보틱스, 차세대 AI 하드웨어 (HW) 개발","대학(2,3년)↑",경력무관 · 정규직,,"웹개발,정보보안,네트워크,영업관리,영업지원"
(주)폴리인스퍼레이션,[LS머트리얼즈 자회사]하이엠케이 영업/회계/설비관리 채용,"대학(2,3년)↑",4 ~ 7년 · 정규직 외,2024.01.03,"기술지원,백엔드/서버개발,유지보수,인프라,WONDOW"
(주)케이엘넷,"폴리인스퍼레이션 채용 (캠퍼스지원,마케팅,R&D,IT,재무,출판)",학력무관,경력 3년↑ · 정규직,2024.12.14,"알고리즘,임베디드,자율주행,정보통신,H/W"
(주)에코이앤이,각 부문 신입/경력 채용공고,"대학(2,3년)↑",경력 4년↑ · 정규직,2024.12.24,"SAP,감사,기업회계,세무회계,재무회계"
(주)영신디엔씨,에코이앤이 영업부문 채용,학력무관,신입 · 경력 · 정규직,2024.01.04,"AI(인공지능),급여(Payroll),기업회계,법인결산,법인세신고"
(주)사조시스템즈,㈜영신디엔씨 각 부문 신입 및 경력 채용,"대학(2,3년)↑",신입 · 경력 · 정규직 외,2024.12.15,"데이터분석가,데이터엔지니어,백엔드/서버개발,앱개발,웹개발"
(주)천재교육,"IT 운영/개발 담당자 채용의 건(JAVA, ASP.NET)","대학(2,3년)↑",경력무관 · 정규직,2024.12.19,"SAP,기술영업,영업관리,영업직,건설영업"
아우토크립트(주),[천재교육] IT본부 AIDT인프라팀 부문별 담당자 채용,대학교(4년)↑,신입 · 경력 · 정규직 외,2024.12.15,"H/W,S/W,CSS,HTML,Java"
(주)디알젬,아우토크립트 인재풀,대학교(4년)↑,신입 · 경력 · 정규직,2024.12.15,"웹개발,웹마스터,SE(시스템엔지니어),웹표준·웹접근성,.NET"
메이저월드(주),본사 각 부문별 채용,"대학(2,3년)↑",경력 2년↑ · 정규직 외,2024.01.04,"데이터엔지니어,백엔드/서버개발,앱개발,DBA,네트워크"
마키타엔지니어링코리아(주),2024년 하반기 정시 채용(신입/경력),학력무관,경력무관 · 정규직 외,2024.02.03,"데이터분석가,데이터엔지니어,백엔드/서버개발,보안컨설팅,앱개발"
주식회사 핌아시아,[직영] DYB최선어학원 각부문 STAFF 모집,"대학(2,3년)↑",신입 · 경력 · 정규직,2024.12.20,"앱개발,QA/테스터,SE(시스템엔지니어),머신러닝,알고리즘"
부산대학교지능물류빅데이터연구소,Software/Hardware개발연구원 모집,학력무관,신입 · 경력 · 정규직,2024.12.12,"백엔드/서버개발,앱개발,웹개발,SE(시스템엔지니어),DBMS"
(주)신한은행,[핌아시아 떠리몰] 이커머스 MD/개발/서비스기획/마케팅/디자인,대학교(4년)↑,신입 · 경력 · 정규직,2024.01.14,"영상처리,교육행정,시설관리,Excel,OA"
한국영상대학교,부산대 K-디지털 트레이닝 SW코딩 취업무료교육 상시모집,학력무관,경력 · 정규직,2024.12.11,"QA/테스터,SE(시스템엔지니어),알고리즘,임베디드,펌웨어"
(주)데이터쿡,[신한은행] 리스크퀀트 경력직 채용,"대학(2,3년)↑",경력 · 정규직,2024.12.31,"데이터엔지니어,백엔드/서버개발,앱개발,웹개발,프론트엔드"
유니닥스(주),한국영상대학교 직원 채용 공고,학력무관,경력무관 · 교육생,2024.12.15,"기술지원,백엔드/서버개발,앱개발,웹개발,유지보수"
(주)글로벌스탠다드테크놀로지,웹개발  / 웹기획 / UIUX디자이너 / 퍼블리셔 (정규직) 모집,학력무관,경력 2년↑ · 계약직,2024.12.16,"SE(시스템엔지니어),솔루션,C++,C언어,Python"
(주)벨아이앤에스,공공분야 개발 및 운영 유지보수 / 사업지원 직원 채용,고졸↑,신입 · 경력 · 정규직 외,2024.12.18,"백엔드/서버개발,정보보안,정보통신,RDBMS,Java"
한국전광(주),[GST] 전원공급장치 H/W 연구개발 경력 채용,학력무관,경력 5년↑ · 정규직,2024.01.02,"앱개발,웹개발,유지보수,퍼블리셔,SI개발"
(주)엔비솔루션,종근당 전산실 그룹웨어 정규직 경력자 채용,학력무관,경력 5년↑ · 정규직 외,2024.12.26,"백엔드/서버개발,보안컨설팅,앱개발,웹개발,유지보수"
한국장애인고용공단,"[한국전광]광학설계, 기구설계, 전자하드웨어, 펌웨어 채용","대학(2,3년)↑",경력 8년↑ · 정규직,2024.12.08,"데이터엔지니어,앱개발,유지보수,SE(시스템엔지니어),SI개발"
대성공업(주),[장비 제조업] 자동화 설비 엔지니어 부문(전장설계/FAE),"대학(2,3년)↑",경력 · 정규직,2024.12.08,"웹개발,ASP,ASP.NET,C#,HTML"
(주)아남아이티,"2025년 기업채용연계형 씨앗 훈련생 모집(경영지원, SW개발, 제조테스트)",학력무관,경력무관 · 정규직,2024.12.29,"영상처리,임베디드,펌웨어,H/W,MCU"
(주)동일캔바스엔지니어링,(관리/품질)자동차부품 각 부서별 우수인재 모집,"대학(2,3년)↑",경력 · 정규직,2024.02.02,"기술지원,FAE,A/S기사,기계수리,기술엔지니어"
시큐레터(주),웹 솔루션 기술 분야 경력직 채용,고졸↑,경력무관 · 교육생,2024.12.08,"AWS,C#,C++,Java,Javascript"
(주)동일캔바스엔지니어링,파견 엔지니어(경력) 모집,"대학(2,3년)↑",경력 · 정규직,2024.12.30,"SE(시스템엔지니어),네트워크,방화벽,ERP,4대보험"
시큐레터(주),하반기 정규직 인원 大 모집 (사세 확장),대학교(4년)↑,경력 3년↑ · 정규직,2024.12.17,"백엔드/서버개발,프론트엔드,Git,Java,JSP"
